Dwyane Wade 	1.77	1.651	0.47	2.089	0.434	-2.156	1.217	0.166	-0.613
Tiago Splitter 	0.019	-0.386	1.023	-0.521	-0.01	-0.108	1.197	-0.088	-0.903
Ersan Ilyasova 	0.356	-0.279	0.944	0.566	-0.677	-0.108	-0.559	0.54	0.111
Manu Ginobili 	0.642	1.383	-0.122	0.784	-0.455	-1.072	0.217	0.794	0.98
Wilson Chandler 	1.012	-0.011	0.47	0.349	0.434	0.133	-0.12	0.147	2.139
Anthony Davis 	2.056	-0.225	2.603	2.089	5.993	-0.71	0.942	0.319	-0.903
Patrick Beverley 	0.204	0.525	0.154	1.654	-0.01	0.133	-0.385	0.511	1.415
Kemba Walker 	1.72	1.972	0.312	1.437	0.212	-1.553	-0.181	0.54	1.415
Brook Lopez 	2.107	-0.493	0.944	-0.304	3.102	-0.469	1.34	0.573	-0.903
Ryan Anderson 	1.955	-0.547	1.141	-0.304	-0.233	0.374	0.064	1.221	3.442
Jared Sullinger 	0.827	-0.118	1.852	-0.521	0.657	-0.469	0.023	0.329	-0.034
Martell Webster 	0.423	-0.225	-0.122	-0.086	-0.455	0.495	0.115	0.756	2.139
Isaiah Thomas 	2.039	2.455	-0.32	1.437	-0.677	-1.915	0.146	0.78	1.704
15.13	5.702	9.349	8.669	8.315	-7.425	4.016	6.588	9.989
