Ricky Rubio 	8.55931119141 6.86424871258
Robin Lopez 	-0.544645737134 2.59831437347
Samuel Dalembert 	-0.231062428755 2.37535459421
Raymond Felton 	2.46161392499 3.52972939925
Gordon Hayward 	3.84762059718 4.04165020914
Andrew Bynum 	-2.13670954941 -0.06691467026
Pau Gasol 	2.65030852325 4.55384950787
Kevin Garnett 	0.616607167987 1.5501674768
Al Horford 	2.85783895835 6.77600354708
J.R. Smith 	1.54346653462 0.710022907273
Ty Lawson 	5.37356355075 5.36663243746
James Harden 	4.37900807159 5.26267929281
