Kyle Lowry 	1.433	3.152	0.352	2.089	-0.455	-1.313	-0.048	0.535	2.573
Nate Robinson 	0.373	0.364	-0.715	0.349	-0.677	-0.108	-0.038	0.66	0.98
Tyreke Evans 	0.693	1.329	0.312	1.002	-0.233	-1.072	-0.304	0.41	-0.613
Maurice Harkless 	-0.284	-0.547	-0.201	1.002	0.212	0.495	0.227	-0.549	-0.034
LeBron James 	3.151	2.508	1.378	1.872	-0.233	-2.879	1.483	0.238	1.125
Derrick Williams 	0.103	-0.6	0.233	0.131	-0.233	0.254	0.125	0.257	-0.468
Amir Johnson 	0.356	-0.279	1.181	0.131	1.546	-0.469	1.115	-0.007	-0.613
Greg Monroe 	1.063	0.096	2.129	0.784	0.212	-1.192	0.86	-0.333	-0.903
Blake Griffin 	2.73	0.9	2.484	1.002	0.434	-1.794	1.085	0.008	-0.613
Damian Lillard 	2.157	2.133	-0.004	0.131	-0.233	-1.433	-0.048	0.895	3.153
Anderson Varejao 	0.103	0.418	2.642	1.002	0.879	0.133	0.513	-0.007	-0.903
Kelly Olynyk 	-0.233	-0.118	0.431	-0.304	-0.01	-0.228	-0.14	0.477	-0.323
Anthony Bennett 	-0.688	-0.815	-0.201	-0.521	-0.455	0.374	-0.967	-0.376	-0.468
10.957	8.541	10.021	8.67	0.754	-9.232	3.863	2.208	2.893
