Jeremy Lin 	3.18611127798 3.56512856257
Terrence Jones 	0.792638045626 3.7690336283
Rudy Gay 	3.2924769111 5.46908140163
Bradley Beal 	2.37904029913 2.64575222685
J.J. Redick 	0.7999330696 1.80535725805
Jamal Crawford 	0.592471093182 0.284570682273
Luis Scola 	-1.74764614259 -1.67106500478
Andrew Bogut 	1.30752291696 3.75011365967
Jeff Green 	0.120145459587 0.788475525213
Chris Bosh 	1.16124453082 4.93315956382
Chandler Parsons 	2.75325702893 4.16037456737
Reggie Jackson 	1.83681812543 0.744456288667
Stephen Curry 	6.16612986181 5.56563449561
