Russell Westbrook 	2.174	2.669	0.905	2.524	-0.677	-3.361	-0.099	0.463	0.98
Tyson Chandler 	0.086	-0.332	2.247	0.349	2.213	0.013	1.677	-0.467	-0.903
Joe Johnson 	1.198	0.418	-0.162	-0.086	-0.455	-0.349	0.074	0.545	1.849
Brandon Bass 	0.49	-0.386	0.905	-0.304	1.101	0.013	0.493	0.732	-0.903
Lance Stephenson 	1.012	1.812	1.457	0.131	-0.677	-1.794	0.676	-0.045	0.546
James Anderson 	0.288	-0.064	0.115	0.566	-0.233	-0.108	0.207	0.123	0.835
DeMarcus Cousins 	2.376	0.579	3.156	2.089	1.768	-2.758	0.523	0.108	-0.903
Corey Brewer 	0.575	-0.118	-0.478	2.089	-0.01	-0.228	0.34	0.142	0.401
Nene Hilario 	1.046	0.579	0.865	1.437	1.101	-1.192	0.646	-0.481	-0.903
Derrick Favors 	0.794	-0.386	2.129	0.784	2.213	-0.71	0.738	-0.146	-0.903
Carmelo Anthony 	3.319	0.632	1.931	1.219	0.657	-1.433	0.217	0.664	2.284
Jose Calderon 	0.575	1.597	-0.478	0.784	-0.677	-0.108	0.176	0.535	2.573
Danny Green 	0.002	-0.172	-0.083	1.002	1.324	0.013	-0.161	0.732	1.415
13.935	6.828	12.509	12.584	7.648	-12.002	5.507	2.905	6.368
