Jrue Holiday 	1.029	3.259	0.233	2.089	-0.01	-2.276	0.156	0.54	0.401
Ben McLemore 	-0.099	-0.493	-0.32	-0.304	-0.455	0.254	-0.661	0.454	0.69
Chris Paul 	1.821	4.974	0.391	4.047	-0.677	-1.553	0.289	0.765	0.69
Evan Turner 	1.551	1.008	0.944	0.784	-0.677	-2.035	-0.038	0.631	0.111
Josh Smith 	1.349	0.9	1.339	2.089	2.213	-1.674	-0.089	-0.644	0.256
DeMar DeRozan 	2.376	1.061	0.391	1.002	-0.01	-1.192	-0.048	0.501	0.401
Roy Hibbert 	0.558	-0.279	1.576	-0.521	4.659	-0.831	0.258	0.271	-0.903
John Henson 	0.592	-0.172	1.734	-0.304	3.769	-0.469	1.013	-0.774	-0.903
Eric Gordon 	1.282	0.74	-0.359	1.437	-0.455	-0.951	0.003	0.396	1.27
Greivis Vasquez 	-0.031	1.329	-0.636	-0.739	-0.9	-0.469	-0.406	0.88	0.546
Mike Conley 	1.635	2.348	-0.359	1.872	-0.455	-0.831	0.207	0.688	1.27
Larry Sanders 	-0.082	-0.547	1.418	0.349	2.88	0.133	0.38	-1.076	-0.903
Dwight Howard 	1.77	-0.064	3.59	0.566	3.325	-2.517	1.483	-0.75	-0.903
13.751	14.064	9.942	12.367	13.207	-14.411	2.547	1.882	2.023
