Goran Dragic 	2.57057170238 1.6219241043
David West 	3.56523152229 6.73071481603
Kevin Martin 	2.3731560104 3.51195538678
Avery Bradley 	0.904286816198 0.0990771009113
Dion Waiters 	2.04432875787 1.73952984245
O.J. Mayo 	1.8036619278 1.12955187226
LaMarcus Aldridge 	2.16109202259 4.62151174464
Andre Drummond 	2.33493522731 5.36784719034
Kenneth Faried 	0.191177335425 1.84274109765
Serge Ibaka 	0.768470331319 6.21592054709
Jimmy Butler 	2.63982502038 4.23651093737
Ray Allen 	1.12311757882 1.1182867489
Klay Thompson 	1.09850695912 3.24776148066
