Michael Carter-Williams 	1.534	2.401	0.668	2.959	0.657	-2.879	-0.344	0.032	0.401
Rodney Stuckey 	0.928	0.096	-0.478	0.349	-0.455	-0.59	0.115	0.569	-0.323
Paul Millsap 	1.585	0.632	1.852	2.524	1.546	-1.553	0.278	0.19	0.546
Zach Randolph 	1.534	0.364	2.642	-0.304	-0.233	-1.553	0.248	0.228	-0.903
Trevor Ariza 	0.996	0.472	1.102	2.742	-0.233	-0.59	0.105	0.377	2.573
DeAndre Jordan 	0.288	-0.493	4.103	0.784	4.436	-0.349	2.32	-1.215	-0.903
Steve Blake 	0.154	2.937	0.036	1.219	-0.677	-1.553	-0.569	0.492	1.849
Carlos Boozer 	1.113	-0.118	1.971	0.349	-0.01	-1.313	0.207	0.386	-0.903
Miles Plumlee 	0.12	-0.654	1.892	0.131	2.213	-0.349	0.738	-0.769	-0.903
Joakim Noah 	0.608	1.49	3.037	1.002	2.213	-1.313	0.391	0.118	-0.903
Kevin Durant 	3.908	1.972	1.655	1.872	0.879	-2.879	0.789	0.871	2.284
Jeff Teague 	1.265	2.83	-0.399	1.219	-0.455	-2.276	-0.181	0.669	0.111
Monta Ellis 	1.804	2.133	-0.083	2.524	-0.233	-2.517	0.268	0.477	0.111
15.837	14.062	17.998	17.37	9.648	-19.714	4.365	2.425	3.037
