Damian Lillard 	2.157	2.133	-0.004	0.131	-0.233	-1.433	-0.048	0.895	3.153
Tyreke Evans 	0.693	1.329	0.312	1.002	-0.233	-1.072	-0.304	0.41	-0.613
Michael Carter-Williams 	1.534	2.401	0.668	2.959	0.657	-2.879	-0.344	0.032	0.401
Thaddeus Young 	1.534	0.043	1.063	3.394	-0.01	-1.072	0.452	-0.074	0.546
DeMarcus Cousins 	2.376	0.579	3.156	2.089	1.768	-2.758	0.523	0.108	-0.903
Dirk Nowitzki 	2.292	0.579	0.984	0.566	0.434	-0.228	0.646	1.038	1.559
Tim Duncan 	1.248	0.579	2.524	-0.304	3.547	-1.192	0.605	0.08	-0.903
Markieff Morris 	0.777	-0.064	0.865	0.566	0.434	-0.59	0.391	0.434	-0.323
Ricky Rubio 	0.137	3.58	0.391	4.047	-0.455	-1.794	-0.702	0.564	-0.034
Goran Dragic 	1.989	2.401	-0.043	1.654	-0.455	-2.035	0.717	0.348	1.27
Isaiah Thomas 	2.039	2.455	-0.32	1.437	-0.677	-1.915	0.146	0.78	1.704
Jordan Hill 	0.053	-0.6	1.378	-0.739	0.879	0.254	1.156	-0.247	-0.903
Darren Collison 	0.305	0.954	-0.557	1.002	-0.455	-0.469	0.289	0.799	0.111
17.134	16.369	10.417	17.804	5.201	-17.183	3.527	5.167	5.065
