Ricky Rubio 	0.137	3.58	0.391	4.047	-0.455	-1.794	-0.702	0.564	-0.034
Robin Lopez 	0.44	-0.547	2.01	-0.521	2.658	0.133	1.054	0.492	-0.903
Samuel Dalembert 	-0.284	-0.761	1.102	-0.304	1.546	0.133	1.432	0.065	-0.903
Raymond Felton 	0.389	2.24	-0.241	0.784	0.212	-1.072	-0.324	0.041	0.546
Gordon Hayward 	1.315	1.651	0.747	1.872	0.657	-1.794	-0.355	0.674	0.69
Andrew Bynum 	0.036	-0.386	0.668	-0.739	1.768	-0.108	-0.13	0.31	-0.903
Pau Gasol 	1.484	0.847	2.563	-0.521	2.435	-1.433	0.38	0.247	-0.758
Kevin Garnett 	-0.233	-0.172	1.22	0.349	0.879	-0.108	0.044	0.732	-0.903
Al Horford 	1.753	0.418	1.892	0.566	2.435	-1.192	1.381	-0.074	-0.758
J.R. Smith 	0.777	0.632	0.194	0.784	-0.455	-0.228	-0.467	-0.438	2.139
Ty Lawson 	1.652	3.741	-0.043	1.872	-0.455	-2.276	0.023	0.511	0.69
James Harden 	2.713	1.919	0.431	1.654	0.212	-2.879	0.197	0.76	2.139
10.179	13.162	10.934	9.843	11.437	-12.618	2.533	3.884	1.042
