Stephen Curry 	2.713	3.795	0.273	2.307	-0.455	-3.24	0.329	0.818	4.022
Kobe Bryant 	0.945	2.401	0.273	1.219	-0.455	-5.408	-0.069	0.765	-0.179
Mike Conley 	1.635	2.348	-0.359	1.872	-0.455	-0.831	0.207	0.688	1.27
DeMar DeRozan 	2.376	1.061	0.391	1.002	-0.01	-1.192	-0.048	0.501	0.401
Rudy Gay 	1.955	0.525	1.023	1.654	1.101	-2.276	0.176	0.559	0.546
Nikola Vucevic 	0.911	-0.064	2.84	1.002	1.101	-1.072	0.738	0.511	-0.903
Robin Lopez 	0.44	-0.547	2.01	-0.521	2.658	0.133	1.054	0.492	-0.903
Wesley Matthews 	1.467	0.311	0.154	0.566	-0.455	-0.108	0.268	0.583	2.718
Victor Oladipo 	0.945	1.222	0.312	2.089	0.434	-2.276	-0.201	0.406	0.401
Kenneth Faried 	0.457	-0.44	1.536	0.349	1.101	-0.108	1.166	-0.434	-0.903
Jimmy Butler 	0.709	0.257	0.549	2.742	0.434	-0.349	-0.457	0.415	0.401
Jose Calderon 	0.575	1.597	-0.478	0.784	-0.677	-0.108	0.176	0.535	2.573
David West 	0.962	0.579	1.141	0.349	1.101	-0.59	0.646	0.362	-0.758
16.09	13.045	9.665	15.414	5.423	-17.425	3.985	6.201	8.686
