Jeremy Lin 	0.827	1.383	-0.399	0.784	-0.01	-1.794	0.268	0.501	0.69
Terrence Jones 	0.558	-0.386	1.457	-0.086	1.991	0.254	0.881	-0.635	-0.323
Rudy Gay 	1.955	0.525	1.023	1.654	1.101	-2.276	0.176	0.559	0.546
Bradley Beal 	1.45	0.9	0.036	0.566	-0.455	-0.831	-0.232	0.626	1.994
J.J. Redick 	1.265	0.204	-0.596	0.349	-0.677	0.013	0.278	1.038	2.139
Jamal Crawford 	1.787	0.74	-0.478	0.566	-0.455	-0.951	-0.14	0.76	2.428
Luis Scola 	-0.099	-0.493	0.589	-0.739	-0.455	-0.228	0.258	0.185	-0.903
Andrew Bogut 	0.002	-0.118	2.8	0.349	3.325	-0.59	2.085	-1.685	-0.903
Jeff Green 	1.45	-0.064	0.47	0.131	0.212	-0.951	-0.191	0.367	1.415
Chris Bosh 	1.467	-0.332	1.26	0.566	1.324	-0.469	1.044	0.559	0.256
Chandler Parsons 	1.501	1.008	0.786	1.002	-0.01	-0.831	0.666	0.118	1.849
Reggie Jackson 	0.911	1.276	0.036	1.002	-0.677	-1.313	0.084	0.866	0.401
Stephen Curry 	2.713	3.795	0.273	2.307	-0.455	-3.24	0.329	0.818	4.022
15.787	8.438	7.257	8.451	4.759	-13.207	5.506	4.077	13.611
