Tony Parker 	1.602	2.348	-0.517	-0.304	-0.677	-1.433	0.707	0.492	-0.323
Arron Afflalo 	1.938	0.954	0.154	-0.086	-0.9	-0.951	0.391	0.573	1.849
George Hill 	0.457	0.9	0.036	0.784	-0.233	-0.108	0.227	0.641	1.125
Nick Young 	1.467	-0.172	-0.359	-0.086	-0.455	-0.469	-0.13	0.65	1.559
Andrea Bargnani 	0.861	-0.386	0.668	-0.739	1.768	-0.228	0.105	0.607	0.111
Luol Deng 	1.518	0.632	0.984	1.002	-0.455	-1.072	0.044	0.492	0.401
Al Jefferson 	2.073	0.15	2.682	0.566	1.768	-0.349	0.585	-0.088	-0.903
Amar'e Stoudemire 	0.322	-0.761	0.312	-0.304	0.212	-0.349	1.115	-0.069	-0.903
Caron Butler 	0.474	-0.118	0.391	0.131	-0.233	-0.349	-0.457	0.679	1.415
Jonas Valanciunas 	0.406	-0.6	1.971	-0.739	1.101	-0.59	0.779	0.185	-0.903
Kevin Love 	3.066	1.222	3.827	0.349	-0.01	-1.313	0.309	0.617	2.573
14.184	4.169	10.149	0.574	1.886	-7.211	3.675	4.779	6.001
