Goran Dragic 	1.989	2.401	-0.043	1.654	-0.455	-2.035	0.717	0.348	1.27
David West 	0.962	0.579	1.141	0.349	1.101	-0.59	0.646	0.362	-0.758
Kevin Martin 	1.821	0.096	-0.122	0.784	-0.677	-0.469	-0.048	0.871	1.704
Avery Bradley 	1.029	-0.225	0.115	0.784	-0.455	-0.469	0.023	0.281	0.546
Dion Waiters 	1.029	0.472	-0.28	0.349	-0.455	-1.192	-0.11	-0.107	0.835
O.J. Mayo 	0.659	0.257	-0.399	-0.086	-0.233	-1.072	-0.324	0.842	1.415
LaMarcus Aldridge 	2.646	0.525	3.077	0.566	1.324	-0.71	0.35	0.593	-0.903
Andre Drummond 	0.827	-0.761	3.629	1.654	3.102	-0.228	1.85	-1.45	-0.903
Kenneth Faried 	0.457	-0.44	1.536	0.349	1.101	-0.108	1.166	-0.434	-0.903
Serge Ibaka 	1.147	-0.493	2.01	-0.304	4.659	-0.349	1.115	0.377	-0.468
Jimmy Butler 	0.709	0.257	0.549	2.742	0.434	-0.349	-0.457	0.415	0.401
Ray Allen 	0.137	0.15	-0.241	0.566	-0.677	-0.108	-0.038	0.976	1.125
Klay Thompson 	1.652	0.364	-0.201	1.002	0.212	-0.71	-0.028	0.468	3.008
15.064	3.182	10.771	10.409	8.981	-8.389	4.862	3.542	6.369
