Mario Chalmers 	4.58759534842 3.75559249084
Joe Johnson 	3.35256351713 3.35256351713
DeMarre Carroll 	3.04651362089 3.04651362089
Al-Farouq Aminu 	2.14897356314 2.14897356314
Luol Deng 	2.76984631491 2.66758610216
Wesley Matthews 	4.46905747431 5.59030945795
Tim Duncan 	-0.0191003466028 3.37862662912
John Wall 	6.83747905718 6.79143232644
Tristan Thompson 	0.0682392598845 0.762286059431
Spencer Hawes 	3.49485120257 6.85162034075
Paul George 	3.78798452299 5.14642708071
Nicolas Batum 	4.27099218832 4.64017398075
Andre Iguodala 	5.6029802741 5.17664618649
