Mario Chalmers 	0.255	1.704	-0.399	2.524	-0.455	-1.313	0.35	0.286	0.835
Joe Johnson 	1.198	0.418	-0.162	-0.086	-0.455	-0.349	0.074	0.545	1.849
DeMarre Carroll 	0.406	-0.011	0.747	1.654	-0.233	0.254	0.431	0.319	0.98
Al-Farouq Aminu 	-0.149	-0.172	1.141	1.002	0.212	0.133	0.401	-0.362	-0.613
Luol Deng 	1.518	0.632	0.984	1.002	-0.455	-1.072	0.044	0.492	0.401
Wesley Matthews 	1.467	0.311	0.154	0.566	-0.455	-0.108	0.268	0.583	2.718
Tim Duncan 	1.248	0.579	2.524	-0.304	3.547	-1.192	0.605	0.08	-0.903
John Wall 	1.938	3.634	0.273	2.959	0.212	-2.758	-0.11	0.655	0.835
Tristan Thompson 	0.676	-0.493	2.366	-0.304	-0.01	-0.349	0.37	-0.189	-0.903
Spencer Hawes 	0.794	0.793	1.971	-0.086	1.991	-1.313	0.166	0.406	1.27
Paul George 	2.444	0.847	1.102	2.524	-0.233	-1.915	0.105	0.784	2.718
Nicolas Batum 	0.76	1.865	1.102	0.784	0.434	-1.674	0.217	0.607	1.415
Andre Iguodala 	0.255	1.383	0.51	2.307	-0.233	-0.59	0.554	-0.448	0.69
12.81	11.49	12.313	14.542	3.867	-12.246	3.475	3.758	11.292
