1 	Tariq Abdul-Wahad 	SG 	27 	TOT 	24 	441 	9.8 	.418 	.378 	.224 	.014 	10.1 	11.6 	10.8 	8.8 	2.4 	1.7 	14.3 	19.1 	90 	107 	-0.3 	0.3 	0.0 	-0.003
2 	Shareef Abdur-Rahim 	PF 	25 	ATL 	77 	2980 	19.8 	.536 	.469 	.403 	.054 	7.6 	19.2 	13.3 	15.1 	1.7 	2.0 	14.1 	27.0 	105 	105 	4.1 	3.1 	7.2 	.116
3 	Courtney Alexander 	SG 	24 	WAS 	56 	1325 	13.6 	.521 	.476 	.255 	.038 	3.7 	9.3 	6.5 	11.3 	1.4 	0.4 	10.2 	20.4 	106 	109 	1.6 	0.6 	2.2 	.080
4 	Victor Alexander 	C 	32 	DET 	15 	97 	9.2 	.367 	.353 	.157 	.039 	8.6 	26.6 	17.6 	11.5 	0.0 	0.7 	8.4 	28.9 	80 	103 	-0.3 	0.1 	-0.1 	-0.073
5 	Malik Allen 	PF 	23 	MIA 	12 	161 	15.0 	.469 	.431 	.196 	.020 	11.0 	16.6 	13.8 	5.5 	1.0 	3.8 	3.5 	17.0 	108 	99 	0.2 	0.3 	0.5 	.141
6 	Ray Allen 	SG 	26 	MIL 	69 	2525 	21.6 	.598 	.561 	.213 	.460 	3.9 	10.1 	7.1 	19.4 	1.9 	0.5 	11.2 	26.2 	116 	109 	7.6 	1.3 	8.9 	.169
7 	Rafer Alston 	PG 	25 	MIL 	50 	600 	13.9 	.434 	.416 	.152 	.372 	2.0 	11.4 	6.9 	36.4 	2.8 	0.2 	16.4 	19.0 	99 	106 	0.3 	0.5 	0.7 	.059
8 	John Amaechi 	PF 	31 	UTA 	54 	586 	5.4 	.412 	.325 	.633 	.000 	10.6 	11.8 	11.2 	7.8 	0.6 	1.4 	20.6 	20.6 	83 	109 	-1.0 	0.3 	-0.7 	-0.056
9 	Chris Andersen 	C 	23 	DEN 	24 	262 	13.8 	.417 	.338 	.378 	.054 	15.8 	17.4 	16.5 	4.2 	1.4 	7.9 	13.1 	17.0 	96 	103 	0.0 	0.3 	0.3 	.058
10 	Derek Anderson 	SG 	27 	POR 	70 	1860 	15.5 	.538 	.473 	.340 	.373 	2.9 	9.1 	6.0 	18.6 	2.0 	0.3 	11.0 	19.4 	114 	107 	3.8 	1.5 	5.3 	.137
11 	Kenny Anderson 	PG 	31 	BOS 	76 	2430 	13.6 	.472 	.442 	.184 	.046 	2.5 	10.1 	6.2 	28.1 	3.0 	0.3 	13.3 	16.7 	103 	101 	1.7 	3.5 	5.2 	.103
12 	Nick Anderson 	SG 	34 	MEM 	15 	219 	4.9 	.375 	.362 	.118 	.632 	0.5 	16.3 	8.4 	10.2 	1.4 	1.9 	14.9 	19.5 	74 	106 	-0.6 	0.2 	-0.4 	-0.080
13 	Shandon Anderson 	SG 	28 	NYK 	82 	1596 	8.0 	.489 	.452 	.287 	.378 	4.1 	13.9 	9.0 	7.7 	1.6 	0.7 	18.8 	15.1 	90 	106 	-0.9 	1.3 	0.4 	.013
14 	Greg Anthony 	PG 	34 	TOT 	60 	1514 	12.6 	.460 	.436 	.192 	.343 	1.7 	8.5 	5.1 	30.8 	2.7 	0.2 	15.4 	18.6 	97 	108 	0.2 	0.9 	1.1 	.036
15 	Gilbert Arenas 	PG 	20 	GSW 	47 	1155 	17.0 	.562 	.504 	.417 	.294 	3.7 	8.7 	6.1 	24.8 	3.0 	0.6 	17.6 	20.1 	110 	108 	2.1 	0.7 	2.7 	.114
16 	Brandon Armstrong 	SG 	21 	NJN 	35 	196 	3.8 	.358 	.347 	.118 	.200 	5.7 	3.5 	4.6 	6.5 	1.9 	0.4 	8.2 	22.3 	79 	104 	-0.4 	0.2 	-0.2 	-0.054
17 	Darrell Armstrong 	PG 	33 	ORL 	82 	2730 	16.7 	.553 	.503 	.248 	.481 	3.4 	9.7 	6.5 	25.5 	3.0 	0.3 	16.0 	17.9 	112 	105 	5.0 	2.6 	7.6 	.134
