1 	Quincy Acy 	PF 	24 	NYK 	9 	4 	20.6 	2.0 	4.0 	.500 	0.0 	0.2 	.000 	2.0 	3.8 	.529 	0.6 	0.7 	.833 	2.3 	3.3 	5.7 	1.1 	0.3 	0.3 	1.3 	3.1 	4.6
2 	Jordan Adams 	SG 	20 	MEM 	1 	0 	1.0 	0.0 	0.0 	0.0	0.0 	0.0 	0.0	0.0 	0.0 	0.0	0.0 	0.0 	0.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	Steven Adams 	C 	21 	OKC 	11 	11 	27.6 	3.1 	6.5 	.472 	0.0 	0.1 	.000 	3.1 	6.5 	.479 	1.6 	2.9 	.563 	2.7 	4.5 	7.3 	1.1 	0.7 	1.3 	2.2 	3.7 	7.8
4 	Arron Afflalo 	SG 	29 	DEN 	9 	9 	28.0 	4.2 	9.8 	.432 	1.6 	4.1 	.378 	2.7 	5.7 	.471 	1.6 	1.9 	.824 	0.3 	2.8 	3.1 	1.8 	0.3 	0.0 	0.4 	2.2 	11.6
5 	Alexis Ajinca 	C 	26 	NOP 	6 	0 	8.5 	1.2 	2.0 	.583 	0.0 	0.0 	0.0	1.2 	2.0 	.583 	0.8 	1.2 	.714 	0.2 	1.7 	1.8 	0.2 	0.2 	0.2 	0.8 	2.7 	3.2
6 	Cole Aldrich 	C 	26 	NYK 	7 	0 	11.7 	1.0 	2.6 	.389 	0.0 	0.0 	0.0	1.0 	2.6 	.389 	0.3 	0.3 	1.000 	1.4 	2.7 	4.1 	0.9 	0.3 	0.6 	0.4 	2.6 	2.3
7 	LaMarcus Aldridge 	PF 	29 	POR 	9 	9 	35.1 	8.6 	18.7 	.458 	0.6 	1.3 	.417 	8.0 	17.3 	.462 	4.2 	5.0 	.844 	2.1 	5.8 	7.9 	2.2 	0.4 	1.3 	1.2 	2.0 	21.9
8 	Lavoy Allen 	PF 	25 	IND 	11 	0 	23.2 	3.5 	7.2 	.481 	0.0 	0.0 	0.0	3.5 	7.2 	.481 	0.5 	0.6 	.857 	3.3 	4.2 	7.5 	1.4 	0.4 	1.0 	0.5 	2.7 	7.5
9 	Tony Allen 	SG 	33 	MEM 	10 	10 	28.2 	3.0 	6.7 	.448 	0.1 	0.5 	.200 	2.9 	6.2 	.468 	0.9 	1.7 	.529 	1.4 	3.3 	4.7 	2.0 	2.2 	0.2 	1.1 	3.5 	7.0
10 	Al-Farouq Aminu 	SF 	24 	DAL 	10 	0 	15.5 	2.0 	4.0 	.500 	0.4 	1.6 	.250 	1.6 	2.4 	.667 	0.3 	0.6 	.500 	0.9 	2.9 	3.8 	0.6 	0.8 	0.8 	0.6 	1.8 	4.7
11 	Louis Amundson 	F 	32 	CLE 	1 	0 	9.0 	1.0 	3.0 	.333 	0.0 	0.0 	0.0	1.0 	3.0 	.333 	0.0 	0.0 	0.0	1.0 	1.0 	2.0 	1.0 	0.0 	0.0 	0.0 	0.0 	2.0
12 	Chris Andersen 	C 	36 	MIA 	5 	0 	17.2 	0.4 	1.0 	.400 	0.0 	0.0 	0.0	0.4 	1.0 	.400 	0.8 	2.0 	.400 	0.8 	2.6 	3.4 	0.4 	0.6 	0.4 	0.6 	1.4 	1.6
13 	Alan Anderson 	SG 	32 	BRK 	9 	0 	18.9 	1.8 	4.1 	.432 	0.8 	2.2 	.350 	1.0 	1.9 	.529 	0.9 	1.2 	.727 	0.6 	1.7 	2.2 	0.6 	0.2 	0.2 	0.8 	2.4 	5.2
14 	Kyle Anderson 	SF 	21 	SAS 	4 	0 	14.0 	0.3 	3.5 	.071 	0.0 	1.0 	.000 	0.3 	2.5 	.100 	0.5 	0.8 	.667 	0.0 	3.0 	3.0 	1.3 	0.5 	0.3 	0.0 	1.0 	1.0
