1 	Shareef Abdur-Rahim 	PF 	31 	SAC 	6 	51 	5.5 	.317 	.214 	.286 	.000 	14.2 	9.1 	11.6 	11.1 	1.0 	0.0 	6.0 	14.7 	95 	114 	0.0 	0.0 	0.0 	-0.005
2 	Arron Afflalo 	SG 	22 	DET 	75 	970 	10.2 	.494 	.432 	.361 	.199 	4.4 	12.5 	8.4 	8.1 	1.8 	0.7 	10.9 	15.2 	104 	104 	0.5 	1.4 	1.9 	.092
3 	Maurice Ager 	SG 	23 	TOT 	26 	165 	1.8 	.363 	.346 	.185 	.292 	2.8 	6.3 	4.6 	8.0 	0.0 	0.4 	7.9 	21.3 	77 	114 	-0.4 	0.0 	-0.4 	-0.114
4 	Blake Ahearn 	PG 	23 	MIA 	12 	177 	9.0 	.495 	.351 	.544 	.596 	0.7 	12.4 	6.4 	17.2 	1.8 	0.0 	18.5 	23.2 	94 	111 	-0.1 	0.1 	0.0 	-0.006
5 	LaMarcus Aldridge 	PF 	22 	POR 	76 	2649 	18.5 	.523 	.484 	.257 	.006 	9.8 	15.8 	12.8 	8.8 	1.1 	2.8 	8.9 	25.3 	108 	107 	3.5 	2.8 	6.2 	.113
6 	Malik Allen 	PF 	29 	TOT 	73 	1096 	9.8 	.500 	.482 	.076 	.006 	7.0 	13.6 	10.4 	6.8 	0.9 	2.2 	11.7 	16.1 	100 	109 	0.1 	0.9 	1.0 	.045
7 	Ray Allen 	SG 	32 	BOS 	73 	2624 	16.4 	.584 	.537 	.240 	.458 	3.6 	8.3 	6.1 	14.6 	1.3 	0.5 	10.4 	21.6 	116 	103 	5.6 	4.1 	9.7 	.177
8 	Tony Allen 	SG 	26 	BOS 	75 	1373 	10.7 	.527 	.458 	.465 	.147 	3.1 	11.0 	7.3 	13.1 	2.4 	1.3 	18.9 	19.6 	98 	99 	-0.1 	2.8 	2.7 	.093
9 	Lance Allred 	C 	26 	CLE 	3 	10 	-1.0 	.307 	.250 	.500 	.000 	0.0 	11.8 	5.7 	0.0 	0.0 	0.0 	0.0 	22.1 	72 	112 	0.0 	0.0 	0.0 	-0.125
10 	Morris Almond 	SG 	22 	UTA 	9 	39 	2.0 	.368 	.300 	.400 	.267 	0.0 	6.2 	3.1 	10.5 	1.3 	0.0 	10.2 	22.5 	81 	111 	-0.1 	0.0 	-0.1 	-0.081
11 	Rafer Alston 	PG 	31 	HOU 	74 	2526 	13.2 	.492 	.471 	.148 	.440 	1.3 	10.2 	5.8 	25.2 	2.1 	0.5 	14.0 	20.7 	102 	103 	1.0 	4.0 	5.0 	.095
12 	Louis Amundson 	PF 	25 	PHI 	16 	64 	7.4 	.472 	.500 	.438 	.000 	12.9 	9.4 	11.1 	0.0 	0.8 	1.2 	9.5 	14.9 	101 	110 	0.0 	0.0 	0.1 	.043
13 	Chris Andersen 	C 	29 	NOH 	5 	34 	6.1 	.342 	.286 	.571 	.000 	6.7 	24.6 	15.5 	0.0 	0.0 	9.2 	10.2 	13.3 	78 	101 	-0.1 	0.1 	0.0 	.012
14 	Derek Anderson 	SG 	33 	CHA 	28 	396 	10.0 	.497 	.452 	.304 	.416 	2.6 	12.6 	7.5 	17.8 	1.6 	0.2 	15.0 	19.3 	99 	111 	0.0 	0.3 	0.3 	.032
15 	Carmelo Anthony 	SF 	23 	DEN 	77 	2806 	21.1 	.568 	.511 	.398 	.111 	7.0 	14.9 	11.0 	16.1 	1.7 	1.0 	12.7 	30.2 	109 	107 	5.2 	3.0 	8.2 	.140
16 	Joel Anthony 	PF 	25 	MIA 	24 	498 	8.8 	.521 	.467 	.817 	.000 	9.0 	13.4 	11.2 	0.9 	1.0 	5.0 	17.2 	9.4 	104 	109 	0.1 	0.4 	0.6 	.054
17 	Gilbert Arenas 	PG 	26 	WAS 	13 	425 	18.2 	.529 	.454 	.490 	.398 	1.6 	12.8 	7.0 	27.4 	2.9 	0.2 	17.1 	31.1 	102 	109 	0.2 	0.4 	0.6 	.070
18 	Trevor Ariza 	SF 	22 	TOT 	35 	546 	16.1 	.568 	.526 	.551 	.132 	6.4 	15.4 	11.1 	11.8 	2.9 	1.5 	12.0 	15.6 	116 	103 	0.9 	0.9 	1.8 	.157
19 	Darrell Armstrong 	PG 	39 	NJN 	50 	549 	8.7 	.499 	.468 	.273 	.627 	3.6 	10.6 	7.1 	20.5 	2.7 	0.3 	25.0 	13.7 	95 	109 	-0.2 	0.5 	0.3 	.024
20 	Hilton Armstrong 	C 	23 	NOH 	65 	732 	7.7 	.498 	.453 	.473 	.000 	10.1 	16.0 	13.0 	4.4 	1.1 	3.6 	24.8 	15.1 	92 	105 	-0.5 	1.0 	0.5 	.032
21 	Carlos Arroyo 	PG 	28 	ORL 	62 	1269 	12.8 	.547 	.493 	.293 	.241 	0.9 	9.0 	5.1 	26.6 	1.1 	0.1 	16.4 	17.0 	111 	109 	1.7 	1.1 	2.8 	.107
22 	Chucky Atkins 	SG 	33 	DEN 	24 	352 	8.9 	.449 	.447 	.074 	.648 	0.9 	8.4 	4.8 	18.7 	1.2 	0.2 	7.4 	16.4 	101 	111 	0.1 	0.2 	0.3 	.040
23 	James Augustine 	PF 	23 	ORL 	25 	149 	10.8 	.533 	.529 	.235 	.000 	12.9 	10.4 	11.6 	2.1 	1.7 	1.0 	13.8 	13.4 	109 	106 	0.1 	0.2 	0.3 	.098
24 	Kelenna Azubuike 	SG 	24 	GSW 	81 	1732 	13.5 	.534 	.505 	.235 	.332 	6.4 	14.0 	10.0 	6.1 	1.3 	1.4 	8.2 	17.2 	112 	111 	2.3 	1.1 	3.4 	.094
25 	Renaldo Balkman 	SF 	23 	NYK 	65 	952 	11.5 	.492 	.492 	.511 	.065 	9.6 	16.4 	12.9 	6.5 	2.4 	2.4 	14.0 	12.5 	104 	108 	0.4 	0.9 	1.3 	.065
26 	Marcus Banks 	PG 	26 	TOT 	36 	569 	12.6 	.579 	.555 	.183 	.534 	0.9 	8.3 	4.6 	17.7 	1.3 	1.6 	15.2 	19.7 	106 	111 	0.5 	0.3 	0.8 	.068
27 	Leandro Barbosa 	SG 	25 	PHO 	82 	2421 	15.8 	.575 	.543 	.209 	.413 	2.0 	8.2 	5.4 	13.5 	1.5 	0.5 	9.5 	22.8 	111 	111 	3.9 	1.6 	5.5 	.109
28 	Jose Barea 	PG 	23 	DAL 	44 	460 	11.7 	.515 	.479 	.206 	.318 	1.0 	10.5 	5.9 	20.6 	1.6 	0.2 	15.9 	22.3 	99 	108 	0.0 	0.5 	0.5 	.052
29 	Andrea Bargnani 	PF 	22 	TOR 	78 	1861 	10.6 	.495 	.448 	.233 	.360 	3.2 	15.2 	9.2 	7.4 	0.7 	1.6 	9.9 	22.5 	98 	109 	-0.3 	1.6 	1.4 	.036
30 	Matt Barnes 	PF 	27 	GSW 	73 	1414 	12.9 	.510 	.483 	.179 	.410 	6.8 	18.1 	12.3 	13.5 	1.6 	1.9 	15.1 	16.7 	105 	108 	1.0 	1.3 	2.3 	.077
31 	Andre Barrett 	PG 	25 	LAC 	4 	25 	12.5 	.510 	.500 	.400 	.600 	0.0 	4.7 	2.3 	44.3 	0.0 	0.0 	14.5 	12.7 	117 	116 	0.0 	0.0 	0.0 	.078
32 	Earl Barron 	C 	26 	MIA 	46 	889 	9.4 	.446 	.405 	.266 	.040 	8.9 	17.9 	13.3 	5.8 	1.1 	0.7 	11.6 	22.0 	91 	110 	-1.0 	0.6 	-0.4 	-0.019
33 	Brent Barry 	SF 	36 	SAS 	31 	554 	16.7 	.655 	.631 	.125 	.700 	2.6 	9.0 	5.9 	16.1 	1.7 	0.4 	9.6 	16.1 	128 	104 	1.5 	0.8 	2.3 	.203
34 	Brandon Bass 	C 	22 	DAL 	79 	1557 	15.9 	.564 	.499 	.400 	.008 	9.2 	16.3 	12.9 	6.1 	0.8 	2.3 	12.4 	19.8 	112 	106 	2.4 	1.9 	4.3 	.132
35 	Maceo Baston 	PF 	32 	TOR 	15 	103 	17.6 	.697 	.680 	.400 	.000 	10.3 	19.7 	14.9 	4.6 	1.0 	3.2 	12.0 	15.3 	131 	105 	0.3 	0.1 	0.4 	.201
36 	Shane Battier 	SF 	29 	HOU 	80 	2907 	11.7 	.561 	.540 	.163 	.596 	5.2 	10.5 	7.9 	8.0 	1.4 	2.3 	10.5 	11.7 	117 	103 	3.6 	4.6 	8.2 	.135
37 	Marco Belinelli 	PG 	21 	GSW 	33 	241 	8.2 	.490 	.473 	.097 	.441 	1.3 	5.1 	3.1 	8.8 	1.0 	0.0 	11.0 	19.1 	97 	115 	0.0 	0.0 	0.0 	-0.002
38 	Charlie Bell 	SG 	28 	MIL 	68 	1628 	10.9 	.490 	.457 	.179 	.447 	2.1 	10.3 	6.0 	19.9 	1.7 	0.1 	12.7 	16.6 	105 	115 	1.0 	0.3 	1.3 	.038
39 	Raja Bell 	SG 	31 	PHO 	75 	2646 	10.5 	.561 	.538 	.121 	.583 	2.2 	9.0 	5.9 	8.6 	1.0 	0.7 	7.6 	14.5 	113 	111 	3.0 	1.5 	4.5 	.082
40 	Mike Bibby 	PG 	29 	TOT 	48 	1573 	14.5 	.515 	.488 	.166 	.411 	1.2 	10.6 	6.0 	30.9 	1.8 	0.2 	15.5 	22.0 	104 	111 	1.1 	0.9 	2.1 	.063
41 	Andris Biedrins 	C 	21 	GSW 	76 	2078 	19.2 	.637 	.626 	.344 	.000 	12.7 	26.2 	19.1 	5.2 	1.3 	3.3 	12.0 	14.4 	127 	106 	5.4 	2.6 	8.0 	.185
42 	Chauncey Billups 	PG 	31 	DET 	78 	2522 	23.6 	.619 	.526 	.498 	.390 	2.0 	8.1 	5.0 	34.7 	2.2 	0.5 	13.0 	23.0 	127 	105 	10.2 	3.4 	13.5 	.257
43 	Steve Blake 	PG 	27 	POR 	81 	2424 	12.0 	.518 	.502 	.100 	.466 	1.5 	7.9 	4.7 	27.1 	1.2 	0.1 	14.5 	15.3 	109 	112 	2.5 	1.3 	3.8 	.075
44 	Andray Blatche 	PF 	21 	WAS 	82 	1675 	15.5 	.512 	.477 	.287 	.024 	11.2 	18.8 	14.9 	9.2 	1.7 	5.7 	15.6 	19.7 	103 	105 	0.8 	2.1 	3.0 	.085
45 	Mark Blount 	C 	32 	MIA 	69 	1542 	11.4 	.505 	.479 	.268 	.085 	5.3 	15.3 	10.2 	4.8 	1.1 	1.8 	10.8 	19.8 	97 	111 	-0.3 	1.0 	0.7 	.021
46 	Keith Bogans 	SG 	27 	ORL 	82 	2198 	10.9 	.559 	.536 	.187 	.696 	2.3 	11.3 	7.0 	7.1 	1.4 	0.3 	7.7 	14.4 	113 	107 	2.6 	2.3 	4.9 	.106
47 	Andrew Bogut 	C 	23 	MIL 	78 	2720 	17.5 	.532 	.511 	.354 	.008 	10.2 	23.4 	16.5 	12.4 	1.2 	3.9 	14.1 	20.2 	107 	109 	2.6 	2.3 	4.8 	.085
48 	Matt Bonner 	PF 	27 	SAS 	68 	853 	12.4 	.525 	.495 	.151 	.471 	7.4 	19.0 	13.3 	6.2 	0.9 	1.5 	11.2 	19.6 	104 	102 	0.5 	1.5 	2.0 	.110
