Andrei Kirilenko	MIN 
DeAndre Liggins	OKC 
Jared Jeffries	POR 
Boris Diaw	SAS 
Alec Burks	UTA 
Harrison Barnes	GSW 
Evan Fournier	DEN 
Kevin Martin	OKC 
Wilson Chandler	DEN 
Ramon Sessions	CHA 
Tyrus Thomas	CHA 
Beno Udrih	TOT 
Klay Thompson	GSW 
Jan Vesely	WAS 
Jerryd Bayless	MEM 
Ryan Hollins	LAC 
Ronny Turiaf	LAC 
Solomon Jones	NYK 
Rajon Rondo	BOS 
Jason Maxiell	DET 
Marvin Williams	UTA 
Sasha Pavlovic	POR 
Kyrie Irving	CLE 
Jae Crowder	DAL 
Chris Wright	DAL 
Terrence Jones	HOU 
Antawn Jamison	LAL 
Josh Howard	MIN 
Tony Parker	SAS 
Kevin Durant	OKC 
Gerald Henderson	CHA 
Nick Young	PHI 
Carmelo Anthony	NYK 
Darrell Arthur	MEM 
Julyan Stone	DEN 
Larry Sanders	MIL 
Josh Harrellson	MIA 
Terrence Ross	TOR 
Shane Battier	MIA 
Chris Copeland	NYK 
Reggie Evans	BRK 
Stephen Curry	GSW 
JaVale McGee	DEN 
Keyon Dooling	MEM 
Louis Williams	ATL 
Victor Claver	POR 
Greivis Vasquez	NOH 
Wayne Ellington	TOT 
Doron Lamb	TOT 
Marquis Daniels	MIL 
Ekpe Udoh	MIL 
Brandon Bass	BOS 
Tiago Splitter	SAS 
Landry Fields	TOR 
Jameer Nelson	ORL 
O.J. Mayo	DAL 
Will Conroy	MIN 
Kendall Marshall	PHO 
Rudy Gay	TOT 
Carlos Boozer	CHI 
Daniel Orton	OKC 
Manu Ginobili	SAS 
E'Twaun Moore	ORL 
Aron Baynes	SAS 
Sebastian Telfair	TOT 
Tobias Harris	TOT 
George Hill	IND 
Brian Roberts	NOH 
Kenneth Faried	DEN 
Vince Carter	DAL 
Steve Nash	LAL 
Jeremy Tyler	TOT 
Mickael Pietrus	TOR 
Anthony Randolph	DEN 
Jordan Crawford	TOT 
Shelvin Mack	TOT 
Monta Ellis	MIL 
Joe Johnson	BRK 
Kenyon Martin	NYK 
Rodrigue Beaubois	DAL 
Chris Johnson	MIN 
D.J. White	BOS 
Darius Morris	LAL 
Jordan Hill	LAL 
Earl Watson	UTA 
Michael Beasley	PHO 
Vladimir Radmanovic	CHI 
Jeff Adrien	CHA 
Rashard Lewis	MIA 
Shannon Brown	PHO 
